user_id,label,followers,followed,verified
85249550,0,1120,2021,False
16106584,1,879658,2491,False
298959333,0,430,77,False
20353120,0,94971,6936,False
1326229737551912960,1,2757195,814,False
51241574,0,16003994,6556,False
1552795969959636992,0,2091625,1003,False
2891904027,0,4965,5457,False
15710120,0,155220,2708,False
1107296448,0,63722,1653,False
1058807868,0,4689878,1,False
11134252,1,3340682,1684,False
337118565,0,414,324,False
133938408,1,794635,497546,False
247141752,0,51,37,False
939091,1,37690402,47,False
20683724,0,152651,1650,False
428454304,0,178118,2520,False
942156122,0,1528413,11861,False
1664393159730759936,0,371,530,False
91416107,1,318562,7087,False
10228272,1,79684875,1174,False
2455740283,1,25209335,1960,False
11347122,0,2109582,21534,False
4018888580,0,143056,3419,False
157084452,0,624,1682,False
991236494361812992,0,1266,2189,False
130557513,0,1458497,4085,False
1915033663,1,1202571,2664,False
926164634570067968,0,738785,14905,False
35586563,1,1421690,2522,False
17629860,0,3598572,2107,False
36375825,0,453835,73,False
2874102076,0,856150,995,False
53469538,0,49700,3846,False
886141168794381952,0,105032,59,False
27493883,1,1332282,82256,False
44196397,1,167950622,513,False
132339474,1,1022454,577815,False
3235474650,0,789,1012,False
1640929196,1,1293061,42123,False
119800419,0,96802,5578,False
173677727,0,1693352,325,False
1599463277859369984,1,31,20,False
832978972602429440,0,394638,678,False
302209556,0,12063,386,False
871305806158941952,0,72,706,False
142645394,0,1461,3625,False
56561449,0,2583506,1562,False
156314187,0,35237,1345,False
1504180543679699968,0,10,58,False
3011710898,0,289,625,False
18929234,0,344409,800,False
24490265,0,138,87,False
1585945194784069888,0,5,62,False
1276123381,0,77178,4314,False
722528529716383744,1,1039675,1940,False
991498226,0,11343,5735,False
22677397,1,1007960,8890,False
921033470712918016,0,56814,3719,False
1852375052,0,26800,19736,False
160573474,0,66362,1623,False
237845487,0,3340241,1402,False
1429042273,0,158,205,False
19636948,1,2356736,301,False
1441960398,1,302,566,False
213072286,0,603,764,False
452540168,0,2764223,181891,False
330262748,0,19431524,2454,False
95092020,1,4963070,1473,False
2835451658,0,1432412,2868,False
1367531,1,24334813,261,False
1455868552993449984,1,73,85,False
246254516,0,958,2877,False
18266688,0,2516888,4181,False
246939630,1,596135,19122,False
286998245,1,379358,2743,False
52360480,0,160240,4210,False
78418213,0,168,443,False
14955353,0,1066914,2876,False
1462261882228819968,0,40,44,False
1589430817205489920,0,17964,211,False
267479999,0,893,170,False
778763106289758208,0,1006815,1941,False
1204097972,1,83534,727,False
874997935813139968,0,6826,2256,False
592730371,0,2406694,985,False
1316389023162789888,0,113,129,False
1071150817191840000,0,98,175,False
1586763541318589952,0,15495,484,False
548384458,0,1052721,2034,False
757977886049565952,0,202,511,False
361972447,0,185,171,False
1594871021978650112,0,101649,629,False
20973388,0,665744,2134,False
1535085318,1,3912,1210,False
1212806053907180032,0,1933288,199,False
467823431,1,962582,1094,False
1349170292564900096,0,2291666,451,False
1616436580247539968,0,18,54,False
3290364847,0,164573,5050,False
15212187,1,2102735,2694,False
17469289,0,3061421,10614,False
1441396406607119872,0,488,1503,False
1335477259646479872,0,130,186,False
738779772,0,517896,17062,False
449030283,0,1873,669,False
1665578229602629888,0,69,177,False
47025815,0,23134,11822,False
1587461333192140032,0,4,12,False
236487888,1,467133,25526,False
1497699359143739904,1,237,637,False
1151623664854419968,0,4530,4963,False
397998902,0,112033,2198,False
1267077287784199936,0,502,450,False
96906231,0,553092,901,False
124820305,0,195704,2912,False
16656851,0,63659,926,False
1520497215445339904,0,9,65,False
879806925348711936,0,1588,2302,False
759251,1,62080312,1084,False
1523998249769730048,0,143,239,False
20545835,0,2624393,720,False
124686454,0,49,182,False
1511506360101440000,0,53,302,False
36749572,0,270027,2514,False
1541116002322330112,0,1779,108,False
1661431457015899904,0,7,40,False
457984599,0,2068012,151,False
27000730,1,1934545,913,False
541226813,0,385,149,False
853607480026423040,0,8390,5885,False
1339619325578240000,0,756496,84,False
746574092527099008,0,108,408,False
15907183,0,391206,6722,False
14159148,1,16486205,1216,False
24178302,1,194584,1865,False
2905849361,0,101,359,False
1291066464800130048,0,4504,3711,False
7587032,0,8503042,24,False
481367033,0,85,175,False
1261050341447069952,0,3021,2679,False
14260960,0,6547514,912,False
1385663633317819904,0,8,138,False
1546335781152699904,0,9603,10221,False
16318652,1,62710,7292,False
1641829126372740096,0,1001,1577,False
1122862174588809984,1,632,109,False
2373944144,0,45,237,False
1329084625856059904,0,3376,4605,False
1672358060675790080,0,38,159,False
1313672610635559936,0,169,229,False
1469612437364250112,0,242,466,False
1192172622395549952,0,902,121,False
1618214214128260096,0,86,8,False
413565827,1,362,852,False
80233893,0,592679,1323,False
1507338108,0,443813,1611,False
615566756,0,99905,109564,False
1499176222236059904,0,7,42,False
1064621478312920064,0,2027,1114,False
22803269,0,117442,21820,False
20332421,0,740,1487,False
1201670995435646976,1,3176180,1348,False
1290470019328100096,0,773,1334,False
1531974291557860096,0,1810,3697,False
40894553,0,376628,2595,False
461574877,0,209,506,False
1430980005463350016,1,16,52,False
32516857,0,40675,332,False
14882285,0,6988,1399,False
116524009,0,201,561,False
3238959639,0,91,105,False
428333,0,63932023,122,False
18809812,0,273092,1272,False
123100411,0,41717,923,False
1195009970150030080,0,3418,60,False
326756275,0,1452418,2273,False
1598664113097520128,0,319,383,False
1518738937174360064,0,3,7,False
3766979176,0,141,97,False
1613296644539150080,0,279,1680,False
842024631733230976,0,154,385,False
1268223690480610048,0,406372,596,False
1390558489915840000,0,206050,98,False
120966569,0,218,165,False
537709549,0,746665,5801,False
2911128253,0,468,1032,False
1171305807360730112,0,134,237,False
254515782,1,715915,2915,False
1917731,1,4439167,343,False
58436094,0,479596,3206,False
12848262,0,1200486,567,False
17590516,0,530469,6694,False
